"Id","Indicator","CollectionFrequency","YearType","Year","Total","Apr","May","Jun","Q1","Jul","Aug","Sep","Q2","Oct","Nov","Dec","Q3","Jan","Feb","Mar","Q4","Polarity"
"LIB01-C","Library Visits - Clifton Explore","Monthly","Financial Year","2022/2023","","2572.00","2558.00","2542.00","7672.00","3086.00","3055.00","2818.00","8959.00","2523.00","2862.00","2044.00","7429.00","","","","","Up is Good"
"LIB01-D","Library Visits - Copmanthorpe Library","Monthly","Financial Year","2011/2012","24289.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-D","Library Visits - Copmanthorpe Library","Monthly","Financial Year","2012/2013","22730.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-D","Library Visits - Copmanthorpe Library","Monthly","Financial Year","2013/2014","24507.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-D","Library Visits - Copmanthorpe Library","Monthly","Financial Year","2014/2015","24820.00","1803.00","1875.00","1973.00","5651.00","2593.00","2414.00","2321.00","7328.00","2212.00","2075.00","1460.00","5747.00","2080.00","1914.00","2100.00","6094.00","Up is Good"
"LIB01-D","Library Visits - Copmanthorpe Library","Monthly","Financial Year","2015/2016","24612.00","1680.00","1869.00","2140.00","5829.00","2428.00","2520.00","2237.00","7185.00","2251.00","2036.00","1581.00","5868.00","1939.00","1944.00","1847.00","5730.00","Up is Good"
"LIB01-D","Library Visits - Copmanthorpe Library","Monthly","Financial Year","2016/2017","24702.00","2264.00","1975.00","2347.00","6586.00","2120.00","2092.00","2164.00","6376.00","2387.00","1832.00","1656.00","5875.00","2009.00","1889.00","1967.00","5865.00","Up is Good"
"LIB01-D","Library Visits - Copmanthorpe Library","Monthly","Financial Year","2017/2018","23164.00","1699.00","1709.00","1833.00","5241.00","2062.00","2164.00","2162.00","6388.00","2114.00","2021.00","1627.00","5762.00","2192.00","1654.00","1927.00","5773.00","Up is Good"
"LIB01-D","Library Visits - Copmanthorpe Library","Monthly","Financial Year","2018/2019","23446.00","1802.00","1699.00","1839.00","5340.00","2203.00","2193.00","2184.00","6580.00","2120.00","2288.00","1384.00","5792.00","1852.00","1747.00","2135.00","5734.00","Up is Good"
"LIB01-D","Library Visits - Copmanthorpe Library","Monthly","Financial Year","2019/2020","22258.00","1958.00","1800.00","1802.00","5560.00","1937.00","2104.00","1943.00","5984.00","1919.00","2060.00","1406.00","5385.00","1920.00","2139.00","1270.00","5329.00","Up is Good"
"LIB01-D","Library Visits - Copmanthorpe Library","Monthly","Financial Year","2020/2021","2549.00","0.00","0.00","0.00","0.00","0.00","0.00","697.00","697.00","1002.00","158.00","617.00","1777.00","75.00","0.00","0.00","75.00","Up is Good"
"LIB01-D","Library Visits - Copmanthorpe Library","Monthly","Financial Year","2021/2022","13169.00","645.00","737.00","833.00","2215.00","1090.00","1106.00","1117.00","3313.00","1251.00","1457.00","916.00","3624.00","1423.00","1122.00","1472.00","4017.00","Up is Good"
"LIB01-D","Library Visits - Copmanthorpe Library","Monthly","Financial Year","2022/2023","","1180.00","1376.00","1272.00","3828.00","1491.00","1498.00","1556.00","4545.00","1521.00","1555.00","1253.00","4329.00","","","","","Up is Good"
"LIB01-E","Library Visits - Dringhouses Library","Monthly","Financial Year","2011/2012","25419.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-E","Library Visits - Dringhouses Library","Monthly","Financial Year","2012/2013","23428.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-E","Library Visits - Dringhouses Library","Monthly","Financial Year","2013/2014","22550.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-E","Library Visits - Dringhouses Library","Monthly","Financial Year","2014/2015","25002.00","1791.00","1841.00","2129.00","5761.00","2972.00","2577.00","2406.00","7955.00","2263.00","1954.00","1533.00","5750.00","1965.00","1725.00","1846.00","5536.00","Up is Good"
"LIB01-E","Library Visits - Dringhouses Library","Monthly","Financial Year","2015/2016","23047.00","1682.00","1927.00","1980.00","5589.00","2128.00","2117.00","1935.00","6180.00","2161.00","1949.00","1636.00","5746.00","1807.00","1833.00","1892.00","5532.00","Up is Good"
"LIB01-E","Library Visits - Dringhouses Library","Monthly","Financial Year","2016/2017","22911.00","1808.00","1777.00","1818.00","5403.00","2196.00","2163.00","2030.00","6389.00","1913.00","1908.00","1602.00","5423.00","1850.00","1914.00","1932.00","5696.00","Up is Good"
"LIB01-E","Library Visits - Dringhouses Library","Monthly","Financial Year","2017/2018","22924.00","1733.00","1889.00","1865.00","5487.00","2147.00","2202.00","2022.00","6371.00","2099.00","2085.00","1335.00","5519.00","1915.00","1738.00","1894.00","5547.00","Up is Good"
"LIB01-E","Library Visits - Dringhouses Library","Monthly","Financial Year","2018/2019","22086.00","1792.00","1778.00","1794.00","5364.00","2098.00","2028.00","1795.00","5921.00","2087.00","1911.00","1291.00","5289.00","1971.00","1780.00","1761.00","5512.00","Up is Good"
"LIB01-E","Library Visits - Dringhouses Library","Monthly","Financial Year","2019/2020","20952.00","1782.00","1632.00","1779.00","5193.00","2127.00","2075.00","1624.00","5826.00","1983.00","1830.00","1303.00","5116.00","1791.00","1841.00","1185.00","4817.00","Up is Good"
"LIB01-E","Library Visits - Dringhouses Library","Monthly","Financial Year","2020/2021","2154.00","0.00","0.00","0.00","0.00","0.00","0.00","630.00","630.00","811.00","106.00","524.00","1441.00","83.00","0.00","0.00","83.00","Up is Good"
"LIB01-E","Library Visits - Dringhouses Library","Monthly","Financial Year","2021/2022","13257.00","462.00","738.00","723.00","1923.00","1024.00","1404.00","1341.00","3769.00","1369.00","1385.00","1087.00","3841.00","1168.00","1093.00","1463.00","3724.00","Up is Good"
"LIB01-E","Library Visits - Dringhouses Library","Monthly","Financial Year","2022/2023","","1359.00","1456.00","1299.00","4114.00","1570.00","1722.00","1475.00","4767.00","1617.00","1358.00","1153.00","4128.00","","","","","Up is Good"
"LIB01-F","Library Visits - Dunnington Library","Monthly","Financial Year","2011/2012","15579.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-F","Library Visits - Dunnington Library","Monthly","Financial Year","2012/2013","15401.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-F","Library Visits - Dunnington Library","Monthly","Financial Year","2013/2014","18446.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-F","Library Visits - Dunnington Library","Monthly","Financial Year","2014/2015","19467.00","1451.00","2011.00","1503.00","4965.00","2021.00","2000.00","1480.00","5501.00","1481.00","1816.00","1316.00","4613.00","1551.00","1322.00","1515.00","4388.00","Up is Good"
"LIB01-F","Library Visits - Dunnington Library","Monthly","Financial Year","2015/2016","20182.00","1413.00","1646.00","1461.00","4520.00","2133.00","1803.00","1593.00","5529.00","1728.00","1782.00","1464.00","4974.00","1678.00","1648.00","1833.00","5159.00","Up is Good"
"LIB01-F","Library Visits - Dunnington Library","Monthly","Financial Year","2016/2017","20696.00","1728.00","1537.00","1574.00","4839.00","1893.00","1878.00","1793.00","5564.00","1620.00","1892.00","1601.00","5113.00","1724.00","1550.00","1906.00","5180.00","Up is Good"
"LIB01-F","Library Visits - Dunnington Library","Monthly","Financial Year","2017/2018","20404.00","1528.00","1590.00","1487.00","4605.00","2102.00","2045.00","1829.00","5976.00","1881.00","1634.00","1473.00","4988.00","1603.00","1516.00","1716.00","4835.00","Up is Good"
"LIB01-F","Library Visits - Dunnington Library","Monthly","Financial Year","2018/2019","20312.00","1566.00","1683.00","1902.00","5151.00","1612.00","1940.00","1812.00","5364.00","1776.00","1939.00","1272.00","4987.00","1640.00","1497.00","1673.00","4810.00","Up is Good"
"LIB01-F","Library Visits - Dunnington Library","Monthly","Financial Year","2019/2020","19742.00","1965.00","1260.00","2006.00","5231.00","1821.00","2350.00","1755.00","5926.00","1577.00","1913.00","1126.00","4616.00","1265.00","1457.00","1247.00","3969.00","Up is Good"
"LIB01-F","Library Visits - Dunnington Library","Monthly","Financial Year","2020/2021","2098.00","0.00","0.00","0.00","0.00","0.00","0.00","687.00","687.00","773.00","115.00","457.00","1345.00","66.00","0.00","0.00","66.00","Up is Good"
"LIB01-F","Library Visits - Dunnington Library","Monthly","Financial Year","2021/2022","10024.00","372.00","611.00","713.00","1696.00","842.00","1034.00","911.00","2787.00","911.00","1144.00","609.00","2664.00","907.00","916.00","1054.00","2877.00","Up is Good"
"LIB01-F","Library Visits - Dunnington Library","Monthly","Financial Year","2022/2023","","1101.00","1000.00","927.00","3028.00","1092.00","1143.00","1023.00","3258.00","1121.00","989.00","974.00","3084.00","","","","","Up is Good"
"LIB01-G","Library Visits - Fulford Library","Monthly","Financial Year","2011/2012","20797.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-G","Library Visits - Fulford Library","Monthly","Financial Year","2012/2013","22015.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-G","Library Visits - Fulford Library","Monthly","Financial Year","2013/2014","27030.00","","","","","","","","","","","","","","","","","Up is Good"
"LIB01-G","Library Visits - Fulford Library","Monthly","Financial Year","2014/2015","28706.00","1936.00","2196.00","2446.00","6578.00","3339.00","1703.00","2882.00","7924.00","2319.00","2849.00","1703.00","6871.00","2671.00","2147.00","2515.00","7333.00","Up is Good"
"LIB01-G","Library Visits - Fulford Library","Monthly","Financial Year","2015/2016","23975.00","1736.00","1995.00","2145.00","5876.00","1975.00","1067.00","1632.00","4674.00","2357.00","2253.00","1724.00","6334.00","2436.00","2340.00","2315.00","7091.00","Up is Good"
"LIB01-G","Library Visits - Fulford Library","Monthly","Financial Year","2016/2017","25931.00","2056.00","1979.00","2146.00","6181.00","2377.00","1126.00","2340.00","5843.00","2368.00","2516.00","1825.00","6709.00","2498.00","1994.00","2706.00","7198.00","Up is Good"
"LIB01-G","Library Visits - Fulford Library","Monthly","Financial Year","2017/2018","25322.00","1724.00","2235.00","2394.00","6353.00","2292.00","1406.00","2163.00","5861.00","2379.00","2273.00","1850.00","6502.00","2399.00","2036.00","2171.00","6606.00","Up is Good"
"LIB01-G","Library Visits - Fulford Library","Monthly","Financial Year","2018/2019","25220.00","1847.00","2004.00","2039.00","5890.00","2084.00","1353.00","2259.00","5696.00","2867.00","2449.00","1625.00","6941.00","2152.00","2039.00","2502.00","6693.00","Up is Good"
"LIB01-G","Library Visits - Fulford Library","Monthly","Financial Year","2019/2020","26335.00","1757.00","2236.00","2026.00","6019.00","2080.00","1471.00","2513.00","6064.00","2990.00","2700.00","2035.00","7725.00","2693.00","2149.00","1685.00","6527.00","Up is Good"
