indicator_id,Activity,LibraryName,CollectionFrequency,financialYear,Total,April,May,June,Q1,July,Aug,September,Q2,October,November,December,Q3,January,February,March,Q4,Polarity
LIB01-B,Library Visits,Bishopthorpe Library,Monthly,2017-03-31,26532.0,1780.0,1870.0,2650.0,6300.0,3040.0,3014.0,2772.0,8826.0,1985.0,1845.0,1692.0,5522.0,1878.0,1794.0,2212.0,5884.0,Up is Good
LIB01-B,Library Visits,Bishopthorpe Library,Monthly,2018-03-31,28397.0,1908.0,2327.0,2784.0,7019.0,3026.0,2747.0,2877.0,8650.0,2601.0,2305.0,1748.0,6654.0,2173.0,1952.0,1949.0,6074.0,Up is Good
LIB01-B,Library Visits,Bishopthorpe Library,Monthly,2019-03-31,26789.0,2112.0,2194.0,2465.0,6771.0,2758.0,2787.0,2657.0,8202.0,2236.0,2000.0,1446.0,5682.0,2197.0,1879.0,2058.0,6134.0,Up is Good
LIB01-B,Library Visits,Bishopthorpe Library,Monthly,2020-03-31,25878.0,1947.0,2317.0,2491.0,6755.0,3039.0,2676.0,2494.0,8209.0,2083.0,1928.0,1506.0,5517.0,2109.0,1856.0,1432.0,5397.0,Up is Good
LIB01-B,Library Visits,Bishopthorpe Library,Monthly,2021-03-31,3255.0,0.0,0.0,0.0,0.0,0.0,0.0,946.0,946.0,1138.0,228.0,863.0,2229.0,80.0,0.0,0.0,80.0,Up is Good
LIB01-B,Library Visits,Bishopthorpe Library,Monthly,2022-03-31,19322.0,997.0,1215.0,1237.0,3449.0,1690.0,1672.0,1944.0,5306.0,2003.0,1821.0,1638.0,5462.0,1602.0,1626.0,1877.0,5105.0,Up is Good
LIB01-B,Library Visits,Bishopthorpe Library,Monthly,2023-03-31,0.0,1549.0,1874.0,2164.0,5587.0,2533.0,2476.0,2741.0,7750.0,1928.0,1988.0,1371.0,5287.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-C,Library Visits,Clifton Explore,Monthly,2012-03-31,32361.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-C,Library Visits,Clifton Explore,Monthly,2013-03-31,31724.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-C,Library Visits,Clifton Explore,Monthly,2014-03-31,35615.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-C,Library Visits,Clifton Explore,Monthly,2015-03-31,41890.0,3062.0,3454.0,4101.0,10617.0,4046.0,4059.0,4183.0,12288.0,3908.0,3595.0,2329.0,9832.0,3001.0,2836.0,3316.0,9153.0,Up is Good
LIB01-C,Library Visits,Clifton Explore,Monthly,2016-03-31,36193.0,3119.0,3306.0,3031.0,9456.0,3581.0,2872.0,3374.0,9827.0,3203.0,2643.0,2404.0,8250.0,2560.0,2851.0,3249.0,8660.0,Up is Good
LIB01-C,Library Visits,Clifton Explore,Monthly,2017-03-31,37279.0,3069.0,3161.0,3946.0,10176.0,3359.0,3497.0,3152.0,10008.0,2775.0,3020.0,2400.0,8195.0,2967.0,2696.0,3237.0,8900.0,Up is Good
LIB01-C,Library Visits,Clifton Explore,Monthly,2018-03-31,40212.0,2891.0,3205.0,4275.0,10371.0,3981.0,3999.0,3418.0,11398.0,3479.0,2927.0,2173.0,8579.0,3348.0,2874.0,3642.0,9864.0,Up is Good
LIB01-C,Library Visits,Clifton Explore,Monthly,2019-03-31,39709.0,3095.0,3091.0,3064.0,9250.0,3635.0,4315.0,3094.0,11044.0,3971.0,3577.0,2312.0,9860.0,3246.0,3265.0,3044.0,9555.0,Up is Good
LIB01-C,Library Visits,Clifton Explore,Monthly,2020-03-31,39031.0,3835.0,3363.0,2939.0,10137.0,3494.0,4317.0,3043.0,10854.0,3486.0,3344.0,2018.0,8848.0,3666.0,3507.0,2019.0,9192.0,Up is Good
LIB01-C,Library Visits,Clifton Explore,Monthly,2021-03-31,3592.0,0.0,0.0,0.0,0.0,414.0,314.0,840.0,1568.0,1157.0,188.0,639.0,1984.0,40.0,0.0,0.0,40.0,Up is Good
LIB01-C,Library Visits,Clifton Explore,Monthly,2022-03-31,21622.0,929.0,940.0,1124.0,2993.0,1602.0,1831.0,2014.0,5447.0,2352.0,2280.0,1585.0,6217.0,2065.0,2067.0,2833.0,6965.0,Up is Good
LIB01-C,Library Visits,Clifton Explore,Monthly,2023-03-31,0.0,2572.0,2558.0,2542.0,7672.0,3086.0,3055.0,2818.0,8959.0,2523.0,2862.0,2044.0,7429.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-D,Library Visits,Copmanthorpe Library,Monthly,2012-03-31,24289.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-D,Library Visits,Copmanthorpe Library,Monthly,2013-03-31,22730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-D,Library Visits,Copmanthorpe Library,Monthly,2014-03-31,24507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Up is Good
LIB01-D,Library Visits,Copmanthorpe Library,Monthly,2015-03-31,24820.0,1803.0,1875.0,1973.0,5651.0,2593.0,2414.0,2321.0,7328.0,2212.0,2075.0,1460.0,5747.0,2080.0,1914.0,2100.0,6094.0,Up is Good
